home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Germany,France,1,2,Friendly,Germany,29,2,2012,-1,1,3,3485,1,0,Germany,France,2,1,0.24207,0.64295,12,loser,winner
Iran,Qatar,2,2,FIFA World Cup qualification,Iran,29,2,2012,0,0,4,3486,1,0,Iran,Qatar,2,0,0.11216,0.81188,12,draw,draw
Poland,Portugal,0,0,Friendly,Poland,29,2,2012,0,0,0,3487,0,1,Poland,Portugal,2,0,0.45876,0.18418,12,draw,draw
Switzerland,Argentina,1,3,Friendly,Switzerland,29,2,2012,-2,2,4,3488,0,1,Switzerland,Argentina,2,2,0.67108,0.86922,12,loser,winner
Wales,Costa Rica,0,1,Friendly,Wales,29,2,2012,-1,1,1,3489,0,1,Wales,Costa_Rica,2,1,0.15603,0.70212,12,loser,winner
Morocco,Senegal,0,1,Friendly,Morocco,25,5,2012,-1,1,1,3490,0,0,Morocco,Senegal,2,1,0.52381,0.39447,12,loser,winner
Denmark,Brazil,1,3,Friendly,Germany,26,5,2012,-2,2,4,3491,1,0,Denmark,Brazil,2,2,0.90199,0.24713,12,loser,winner
Spain,Serbia,2,0,Friendly,Switzerland,26,5,2012,2,-2,2,3492,1,1,Spain,Serbia,2,2,0.79043,0.24282,12,winner,loser
Switzerland,Germany,5,3,Friendly,Switzerland,26,5,2012,2,-2,8,3493,0,1,Switzerland,Germany,2,2,0.06144,0.07279,12,winner,loser
Mexico,Wales,2,0,Friendly,United States,27,5,2012,2,-2,2,3494,1,0,Mexico,Wales,2,2,0.54409,0.44017,12,winner,loser
Spain,South Korea,4,1,Friendly,Switzerland,30,5,2012,3,-3,5,3495,1,0,Spain,South_Korea,2,3,0.65678,0.21584,12,winner,loser
United States,Brazil,1,4,Friendly,United States,30,5,2012,-3,3,5,3496,0,0,United_States,Brazil,2,3,0.353,0.25563,12,loser,winner
France,Serbia,2,0,Friendly,France,31,5,2012,2,-2,2,3497,0,1,France,Serbia,2,2,0.71393,0.48354,12,winner,loser
Argentina,Ecuador,4,0,FIFA World Cup qualification,Argentina,2,6,2012,4,-4,4,3498,1,0,Argentina,Ecuador,2,4,0.88982,0.0417,12,winner,loser
Denmark,Australia,2,0,Friendly,Denmark,2,6,2012,2,-2,2,3499,1,0,Denmark,Australia,2,2,0.03645,0.803,12,winner,loser
England,Belgium,1,0,Friendly,England,2,6,2012,1,-1,1,3500,1,1,England,Belgium,2,1,0.26857,0.12252,12,winner,loser
